software	model	objective	reaction	flux	status	minimum	maximum
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_A5PISO	0.00125	optimal	0.00125	0.00125
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS1	0.003004	optimal	0.003004	0.003004
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS2	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS3	0.00718	optimal	0.00718	0.00718
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS4	0.010934	optimal	0.010934	0.010934
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS5	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS6	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS7	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS8	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS9	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT1r	0.061096	optimal	-4.602272	0.061096
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT2r	0.021118	optimal	0.021118	0.021118
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT3r	0.021118	optimal	0.021118	0.021118
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT4r	0.021118	optimal	0.021118	0.021118
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT5r	0.021118	optimal	0.021118	0.021118
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT6r	0.021118	optimal	0.021118	0.021118
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT7r	0.018114	optimal	0.018114	0.018114
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT8r	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACAFDOR	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACBIPGT	1.1e-05	optimal	1.1e-05	1.1e-05
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACCOAC	0.018546	optimal	0.018546	0.018546
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGAMK	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGAMT	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGK	0.015268	optimal	0.015268	0.015268
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGS	0.0	optimal	0.0	0.0
cbmpy	Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACHBS	0.013288	optimal	0.013288	0.013288
