software	model	objective	reaction	flux	status	minimum	maximum
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ACxt	1000.0	optimal	1000.0	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ADNxt	-14.977932	optimal	-19.816269	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_AKGxt	-0.0	optimal	-1000.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ALAxt	296.920045	optimal	-1000.0	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ARGxt	-20.360171	optimal	-20.360171	-20.360171
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ASNxt	-23.223319	optimal	-1000.0	-23.223319
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ASPxt	1000.0	optimal	-385.871235	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_BIOMASS	96.402322	optimal	96.402322	96.402322
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CHOLINExt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CITxt	-588.984938	optimal	-964.44155	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CO2xt	1000.0	optimal	-385.871235	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CTxt	-0.0	optimal	-0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CYSxt	-6.197705	optimal	-6.197705	-6.197705
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_CYTDxt	-16.013968	optimal	-31.932691	-16.013968
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DALAxt	2.410058	optimal	-997.589942	2.410058
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DAxt	-4.838336	optimal	-19.816269	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DCxt	-0.0	optimal	-15.918723	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DGLUxt	-0.0	optimal	-1000.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DGxt	-0.0	optimal	-42.835794	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DTxt	-0.0	optimal	-2.579051	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_DUxt	-0.0	optimal	-15.918723	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_FORMATExt	510.296555	optimal	0.0	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_FRUxt	-0.0	optimal	-15.056982	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_FUMxt	-1000.0	optimal	-1000.0	3.819484
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GL3Pxt	-1000.0	optimal	-1000.0	-1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLCxt	-47.244947	optimal	-47.244947	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLNxt	-41.326519	optimal	-1000.0	-41.326519
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLUCxt	-0.0	optimal	-47.244947	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLUxt	-446.299493	optimal	-1000.0	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLYCOLATExt	0.812672	optimal	0.812672	0.812672
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLYxt	1000.0	optimal	-933.086531	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GLxt	1000.0	optimal	-3.819484	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_GSNxt	-23.019525	optimal	-42.835794	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_HISxt	-10.39217	optimal	-10.39217	-10.39217
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_HSERxt	-2.410058	optimal	-2.410058	-2.410058
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ICITxt	-0.0	optimal	-1000.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_ILExt	-25.397192	optimal	-25.397192	894.752126
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_IMALxt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_LEUxt	-35.68332	optimal	-35.68332	657.252298
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_LYSxt	-19.776936	optimal	-19.776936	-19.776936
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_MALxt	-3.372105	optimal	-1000.0	3.819484
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_MELIxt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_METxt	-6.680681	optimal	-6.680681	-6.680681
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_MLTxt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_MNTxt	-0.0	optimal	-47.244947	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_NAGAxt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_NH3xt	-917.690058	optimal	-1000.0	1000.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_NO2xt	-0.0	optimal	0.0	0.0
cbmpy	VvuMBEL943_2022.xml	obj	R_EX_NO3xt	-0.0	optimal	0.0	0.0
