software	model	objective	reaction	status	value
cbmpy	iDK1463.xml	obj	R_12DGR120tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR140tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR141tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR160tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR161tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR180tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12DGR181tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12PPDRtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12PPDRtpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12PPDStex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_12PPDStpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_13PPDH2	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_14GLUCANabcpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_14GLUCANtexi	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23CAMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23CCMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23CGMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23CUMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23DAPPAt2pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23DAPPAtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23DOGULNt4pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23PDE2pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23PDE4pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23PDE7pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_23PDE9pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_26DAHtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA120tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA140tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA141tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA160tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA161tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA180tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPA181tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE120tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE140tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE141tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE160tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE161tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE180tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPE181tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT120	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT140	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT141	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT160	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT161	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT180	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPEAT181	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG120tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG140tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG141tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG160tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG161tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG180tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPG181tipp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT120	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT140	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT141	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT160	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT161	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT180	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2AGPGAT181	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DDARAA	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGLCptspp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGLCtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGULRGx	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGULRGy	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGULRx	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DGULRy	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2DOXG6PP	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2HESR	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2MAHMP	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_2PGtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_34dhpactex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3AMACHYD	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3AMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3CMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3GMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD100	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD120	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD121	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD140	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD141	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD160	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD161	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD180	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD181	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD40	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD60	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HAD80	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HBCOAHL	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HBZCT	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HPPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3HPPtpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3KGK	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3NTD2pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3NTD4pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3NTD7pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3NTD9pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR100	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR120	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR121	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR140	optimal	0.0
cbmpy	iDK1463.xml	obj	R_3OAR141	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR160	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR161	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR180	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR181	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR40	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR60	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAR80	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS100	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS120	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS121	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS140	optimal	0.0
cbmpy	iDK1463.xml	obj	R_3OAS141	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS160	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS161	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS180	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS181	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS60	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OAS80	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3OXCOAT	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3PEPTabcpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3PEPTtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3PGtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3SLAR	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3UMPtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_3hoxpactex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4ABZGLUtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HBZt3pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HOXPACDtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HOXPACt2pp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HTHRA	optimal	0.880325
cbmpy	iDK1463.xml	obj	R_4HTHRK	optimal	0.880325
cbmpy	iDK1463.xml	obj	R_4HTHRS	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HTHRtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4HTHRtrpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4PCP	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4PCPpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4PEPTabcpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_4PEPTtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_5DGLCNR	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_5DGLCNtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_5DKGR	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_5DOAN	optimal	0.0
cbmpy	iDK1463.xml	obj	R_5MTRtex	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_5MTRtpp	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_6APAt1	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_6D6SFK	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_6D6SPA	optimal	0.880331
cbmpy	iDK1463.xml	obj	R_A5PISO	optimal	0.0
