model	objective	reaction	status	value
Gmetallireducens_ac_Fe+Updated.xml	obj	R_A5PISO	optimal	0.0
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS1	optimal	0.047224
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS2	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS3	optimal	0.047275
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS4	optimal	0.046894
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS5	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS6	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS7	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS8	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_AACPS9	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT1r	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT2r	optimal	0.046521
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT3r	optimal	0.046521
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT4r	optimal	0.046521
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT5r	optimal	0.046521
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT6r	optimal	0.046521
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT7r	optimal	0.046848
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACACT8r	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACAFDOR	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACBIPGT	optimal	0.0
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACCOAC	optimal	0.0
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGAMK	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGAMT	optimal	0.047322
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGK	optimal	0.0
Gmetallireducens_ac_Fe+Updated.xml	obj	R_ACGS	optimal	0.047322
