model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00001	187.35363	optimal	0.0	0.025892	1.0
Human-GEM.xml	obj	MAR00002	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00003	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00004	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00005	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00006	187.35363	optimal	0.0	0.288878	1.0
Human-GEM.xml	obj	MAR00007	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00008	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00009	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00010	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00011	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00012	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00013	187.35363	optimal	0.0	18.75	1.0
Human-GEM.xml	obj	MAR00014	187.35363	optimal	0.0	1.980198	1.0
Human-GEM.xml	obj	MAR00015	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00016	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00017	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00018	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00019	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00020	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00021	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00022	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00023	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00024	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00025	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00026	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00027	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00028	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00029	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00030	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00031	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00032	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00033	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00034	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00035	187.35363	optimal	0.0	85.116316	1.0
Human-GEM.xml	obj	MAR00036	187.35363	optimal	0.0	86.020132	1.0
Human-GEM.xml	obj	MAR00037	187.35363	optimal	0.0	49.651184	1.0
Human-GEM.xml	obj	MAR00038	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00039	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00040	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00041	187.35363	optimal	0.0	38.653603	1.0
Human-GEM.xml	obj	MAR00042	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00043	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00044	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00045	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00046	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00047	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00048	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00049	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00050	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00051	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00052	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00053	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00054	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00055	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00056	187.35363	optimal	-1000.0	0.0	1.0
Human-GEM.xml	obj	MAR00057	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00058	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00059	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00060	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00061	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00062	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00063	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00064	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00065	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00066	187.35363	optimal	-1000.0	40.052253	1.0
Human-GEM.xml	obj	MAR00067	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00068	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00069	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00070	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00071	187.35363	optimal	0.0	0.0	1.0
Human-GEM.xml	obj	MAR00072	187.35363	optimal	0.0	798.317004	1.0
Human-GEM.xml	obj	MAR00073	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00074	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00075	187.35363	optimal	-1000.0	1000.0	1.0
