model	objective	gene	status	value
Human-GEM.xml	obj	ENSG00000000419	optimal	187.35363
Human-GEM.xml	obj	ENSG00000001036	optimal	187.35363
Human-GEM.xml	obj	ENSG00000001084	optimal	187.35363
Human-GEM.xml	obj	ENSG00000001630	optimal	187.35363
Human-GEM.xml	obj	ENSG00000002549	optimal	187.35363
Human-GEM.xml	obj	ENSG00000002587	optimal	187.35363
Human-GEM.xml	obj	ENSG00000002726	optimal	187.35363
Human-GEM.xml	obj	ENSG00000002746	optimal	187.35363
Human-GEM.xml	obj	ENSG00000003137	optimal	0.0
Human-GEM.xml	obj	ENSG00000003987	optimal	187.35363
Human-GEM.xml	obj	ENSG00000003989	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004455	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004468	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004478	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004779	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004799	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004809	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004864	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004939	optimal	187.35363
Human-GEM.xml	obj	ENSG00000004961	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005022	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005075	optimal	0.0
Human-GEM.xml	obj	ENSG00000005187	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005339	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005381	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005421	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005469	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005471	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005483	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005810	optimal	187.35363
Human-GEM.xml	obj	ENSG00000005882	optimal	187.35363
Human-GEM.xml	obj	ENSG00000006007	optimal	187.35363
