model	objective	reaction	status	value
Human-GEM.xml	obj	MAR00001	optimal	187.35363
Human-GEM.xml	obj	MAR00002	optimal	187.35363
Human-GEM.xml	obj	MAR00003	optimal	187.35363
Human-GEM.xml	obj	MAR00004	optimal	187.35363
Human-GEM.xml	obj	MAR00005	optimal	187.35363
Human-GEM.xml	obj	MAR00006	optimal	187.35363
Human-GEM.xml	obj	MAR00007	optimal	187.35363
Human-GEM.xml	obj	MAR00008	optimal	187.35363
Human-GEM.xml	obj	MAR00009	optimal	187.35363
Human-GEM.xml	obj	MAR00010	optimal	187.35363
Human-GEM.xml	obj	MAR00011	optimal	187.35363
Human-GEM.xml	obj	MAR00012	optimal	187.35363
Human-GEM.xml	obj	MAR00013	optimal	187.35363
Human-GEM.xml	obj	MAR00014	optimal	187.35363
Human-GEM.xml	obj	MAR00015	optimal	187.35363
Human-GEM.xml	obj	MAR00016	optimal	187.35363
Human-GEM.xml	obj	MAR00017	optimal	187.35363
Human-GEM.xml	obj	MAR00018	optimal	187.35363
Human-GEM.xml	obj	MAR00019	optimal	187.35363
Human-GEM.xml	obj	MAR00020	optimal	187.35363
Human-GEM.xml	obj	MAR00021	optimal	187.35363
Human-GEM.xml	obj	MAR00022	optimal	187.35363
Human-GEM.xml	obj	MAR00023	optimal	187.35363
Human-GEM.xml	obj	MAR00024	optimal	187.35363
Human-GEM.xml	obj	MAR00025	optimal	187.35363
Human-GEM.xml	obj	MAR00026	optimal	187.35363
Human-GEM.xml	obj	MAR00027	optimal	187.35363
Human-GEM.xml	obj	MAR00028	optimal	187.35363
Human-GEM.xml	obj	MAR00029	optimal	187.35363
Human-GEM.xml	obj	MAR00030	optimal	187.35363
Human-GEM.xml	obj	MAR00031	optimal	187.35363
Human-GEM.xml	obj	MAR00032	optimal	187.35363
Human-GEM.xml	obj	MAR00033	optimal	187.35363
Human-GEM.xml	obj	MAR00034	optimal	187.35363
Human-GEM.xml	obj	MAR00035	optimal	187.35363
Human-GEM.xml	obj	MAR00036	optimal	187.35363
Human-GEM.xml	obj	MAR00037	optimal	187.35363
Human-GEM.xml	obj	MAR00038	optimal	187.35363
Human-GEM.xml	obj	MAR00039	optimal	187.35363
Human-GEM.xml	obj	MAR00040	optimal	187.35363
Human-GEM.xml	obj	MAR00041	optimal	187.35363
Human-GEM.xml	obj	MAR00042	optimal	187.35363
Human-GEM.xml	obj	MAR00043	optimal	187.35363
Human-GEM.xml	obj	MAR00044	optimal	187.35363
Human-GEM.xml	obj	MAR00045	optimal	187.35363
Human-GEM.xml	obj	MAR00046	optimal	187.35363
Human-GEM.xml	obj	MAR00047	optimal	187.35363
Human-GEM.xml	obj	MAR00048	optimal	187.35363
Human-GEM.xml	obj	MAR00049	optimal	187.35363
Human-GEM.xml	obj	MAR00050	optimal	187.35363
Human-GEM.xml	obj	MAR00051	optimal	187.35363
Human-GEM.xml	obj	MAR00052	optimal	187.35363
Human-GEM.xml	obj	MAR00053	optimal	187.35363
Human-GEM.xml	obj	MAR00054	optimal	187.35363
Human-GEM.xml	obj	MAR00055	optimal	187.35363
Human-GEM.xml	obj	MAR00056	optimal	187.35363
Human-GEM.xml	obj	MAR00057	optimal	187.35363
Human-GEM.xml	obj	MAR00058	optimal	187.35363
Human-GEM.xml	obj	MAR00059	optimal	187.35363
Human-GEM.xml	obj	MAR00060	optimal	187.35363
Human-GEM.xml	obj	MAR00061	optimal	187.35363
Human-GEM.xml	obj	MAR00062	optimal	187.35363
Human-GEM.xml	obj	MAR00063	optimal	187.35363
Human-GEM.xml	obj	MAR00064	optimal	187.35363
Human-GEM.xml	obj	MAR00065	optimal	187.35363
Human-GEM.xml	obj	MAR00066	optimal	187.35363
Human-GEM.xml	obj	MAR00067	optimal	187.35363
Human-GEM.xml	obj	MAR00068	optimal	187.35363
Human-GEM.xml	obj	MAR00069	optimal	187.35363
Human-GEM.xml	obj	MAR00070	optimal	187.35363
Human-GEM.xml	obj	MAR00071	optimal	187.35363
Human-GEM.xml	obj	MAR00072	optimal	187.35363
Human-GEM.xml	obj	MAR00073	optimal	187.35363
Human-GEM.xml	obj	MAR00074	optimal	187.35363
Human-GEM.xml	obj	MAR00075	optimal	187.35363
