model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
VvuMBEL943_2022.xml	obj	R_EX_ACxt	96.402322	optimal	1000.0	1000.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_ADNxt	96.402322	optimal	-19.816269	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_AKGxt	96.402322	optimal	-1000.0	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_ALAxt	96.402322	optimal	-1000.0	1000.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_ARGxt	96.402322	optimal	-20.360171	-20.360171	1.0
VvuMBEL943_2022.xml	obj	R_EX_ASNxt	96.402322	optimal	-1000.0	-23.223319	1.0
VvuMBEL943_2022.xml	obj	R_EX_ASPxt	96.402322	optimal	-385.871235	1000.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_BIOMASS	96.402322	optimal	96.402322	96.402322	1.0
VvuMBEL943_2022.xml	obj	R_EX_CHOLINExt	96.402322	optimal	0.0	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_CITxt	96.402322	optimal	-964.44155	1000.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_CO2xt	96.402322	optimal	-385.871235	1000.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_CTxt	96.402322	optimal	-0.0	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_CYSxt	96.402322	optimal	-6.197705	-6.197705	1.0
VvuMBEL943_2022.xml	obj	R_EX_CYTDxt	96.402322	optimal	-31.932691	-16.013968	1.0
VvuMBEL943_2022.xml	obj	R_EX_DALAxt	96.402322	optimal	-997.589942	2.410058	1.0
VvuMBEL943_2022.xml	obj	R_EX_DAxt	96.402322	optimal	-19.816269	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_DCxt	96.402322	optimal	-15.918723	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_DGLUxt	96.402322	optimal	-1000.0	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_DGxt	96.402322	optimal	-42.835794	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_DTxt	96.402322	optimal	-2.579051	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_DUxt	96.402322	optimal	-15.918723	0.0	1.0
VvuMBEL943_2022.xml	obj	R_EX_FORMATExt	96.402322	optimal	0.0	1000.0	1.0
