model	objective	reaction	status	value
VvuMBEL943_2022.xml	obj	R_EX_ACxt	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_EX_ADNxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_AKGxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_ALAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_ARGxt	optimal	95.29364
VvuMBEL943_2022.xml	obj	R_EX_ASNxt	optimal	96.083554
VvuMBEL943_2022.xml	obj	R_EX_ASPxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_BIOMASS	optimal	0.0
VvuMBEL943_2022.xml	obj	R_EX_CHOLINExt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_CITxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_CO2xt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_CTxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_CYSxt	optimal	96.231918
VvuMBEL943_2022.xml	obj	R_EX_CYTDxt	optimal	96.182285
VvuMBEL943_2022.xml	obj	R_EX_DALAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DCxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DGLUxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DGxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DTxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_DUxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_FORMATExt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_FRUxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_FUMxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GL3Pxt	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_EX_GLCxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GLNxt	optimal	95.836524
VvuMBEL943_2022.xml	obj	R_EX_GLUCxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GLUxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GLYCOLATExt	optimal	0.0
VvuMBEL943_2022.xml	obj	R_EX_GLYxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GLxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_GSNxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_HISxt	optimal	95.974871
VvuMBEL943_2022.xml	obj	R_EX_HSERxt	optimal	96.369143
VvuMBEL943_2022.xml	obj	R_EX_ICITxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_ILExt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_IMALxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_LEUxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_LYSxt	optimal	96.130727
VvuMBEL943_2022.xml	obj	R_EX_MALxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_MELIxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_METxt	optimal	96.310405
VvuMBEL943_2022.xml	obj	R_EX_MLTxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_MNTxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_NAGAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_NH3xt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_NO2xt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_NO3xt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_Naxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_O2xt	optimal	82.675673
VvuMBEL943_2022.xml	obj	R_EX_ORNxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_PHExt	optimal	95.582767
VvuMBEL943_2022.xml	obj	R_EX_PIxt	optimal	83.683739
VvuMBEL943_2022.xml	obj	R_EX_PROxt	optimal	96.116933
VvuMBEL943_2022.xml	obj	R_EX_PTRCxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_SERxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_SLACxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_SLFxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_SPRMDxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_SUCCxt	optimal	82.675673
VvuMBEL943_2022.xml	obj	R_EX_SUCxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_THIAMINxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_THRxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_TRExt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_TRPxt	optimal	96.006002
VvuMBEL943_2022.xml	obj	R_EX_TYRxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_URAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_UREAxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_URIxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_VALxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_VB12xt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_XANxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_a_2PGxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_EX_a_3PGxt	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R001	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R002	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R003	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R004	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R005	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R006	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R007	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R008	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R009	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R010	optimal	82.808683
VvuMBEL943_2022.xml	obj	R_R011	optimal	69.326707
VvuMBEL943_2022.xml	obj	R_R012	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R013	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R014	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R015	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R016	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R017	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R018	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R019	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R020	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R021	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R022	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R023	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R024	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R025	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R026	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R027	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R028	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R029	optimal	82.659021
VvuMBEL943_2022.xml	obj	R_R030	optimal	96.388145
VvuMBEL943_2022.xml	obj	R_R031	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R032	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R033	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R034	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R035	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R036	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R037	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R038	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R039	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R040	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R041	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R042	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R043	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R044	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R045	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R046	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R047	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R048	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R049	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R050	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R051	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R052	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R053	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R054	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R055	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R056	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R057	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R058	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R059	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R060	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R061	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R062	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R063	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R064	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R065	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R066	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R067	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R068	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R069	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R070	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R071	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R072	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R073	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R074	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R075	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R076	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R077	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R078	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R079	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R080	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R081	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R082	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R083	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R084	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R085	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R086	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R087	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R088	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R089	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R090	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R091	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R092	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R093	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R094	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R095	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R096	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R097	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R098	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R099	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R100	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R101	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R102	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R103	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R104	optimal	96.329586
VvuMBEL943_2022.xml	obj	R_R105	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R106	optimal	96.329586
VvuMBEL943_2022.xml	obj	R_R107	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R108	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R109	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R110	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R111	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R112	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R113	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R114	optimal	82.630562
VvuMBEL943_2022.xml	obj	R_R115	optimal	96.329586
VvuMBEL943_2022.xml	obj	R_R116	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R117	optimal	96.329586
VvuMBEL943_2022.xml	obj	R_R118	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R119	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R120	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R121	optimal	0.0
VvuMBEL943_2022.xml	obj	R_R122	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R123	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R124	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R125	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R126	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R127	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R128	optimal	96.402322
VvuMBEL943_2022.xml	obj	R_R129	optimal	96.402322
