model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
iDK1463.xml	obj	R_12DGR120tipp	0.880331	optimal	0.0	-0.0	1.0
iDK1463.xml	obj	R_12DGR140tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_12DGR141tipp	0.880331	optimal	0.0	-0.0	1.0
iDK1463.xml	obj	R_12DGR160tipp	0.880331	optimal	-0.0	-0.0	1.0
iDK1463.xml	obj	R_12DGR161tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_12DGR180tipp	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_12DGR181tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_12PPDRtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_12PPDRtpp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_12PPDStex	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_12PPDStpp	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_13PPDH2	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_14GLUCANabcpp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_14GLUCANtexi	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_23CAMPtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23CCMPtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23CGMPtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23CUMPtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23DAPPAt2pp	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_23DAPPAtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23DOGULNt4pp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23PDE2pp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23PDE4pp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_23PDE7pp	0.880331	optimal	-0.0	0.0	1.0
iDK1463.xml	obj	R_23PDE9pp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_26DAHtex	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA120tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA140tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA141tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA160tipp	0.880331	optimal	0.0	-0.0	1.0
iDK1463.xml	obj	R_2AGPA161tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA180tipp	0.880331	optimal	0.0	0.0	1.0
iDK1463.xml	obj	R_2AGPA181tipp	0.880331	optimal	0.0	0.0	1.0
