model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
iDS372.xml	obj	R_ATP_m_cytop	1.209508	optimal	6.5	6.5	1.0
iDS372.xml	obj	R_Acyl__ACP__biosynthesis__cytop	1.209508	optimal	0.055673	0.055673	1.0
iDS372.xml	obj	R_Biomass_C3_cytop	1.209508	optimal	1.209508	1.209508	1.0
iDS372.xml	obj	R_Biomass_assembly_C3_cytop	1.209508	optimal	1.209508	1.209508	1.0
iDS372.xml	obj	R_Cell_wall_cytmem	1.209508	optimal	0.314472	0.314472	1.0
iDS372.xml	obj	R_EX_Biomass_extr	1.209508	optimal	1.209508	1.209508	1.0
iDS372.xml	obj	R_EX_C00001_extr	1.209508	optimal	-21.234993	-20.044425	1.0
iDS372.xml	obj	R_EX_C00007_extr	1.209508	optimal	0.0	0.0	1.0
iDS372.xml	obj	R_EX_C00009_extr	1.209508	optimal	-0.833055	-0.833055	1.0
iDS372.xml	obj	R_EX_C00011_extr	1.209508	optimal	2.022076	2.022076	1.0
iDS372.xml	obj	R_EX_C00014_extr	1.209508	optimal	1.995543	3.186112	1.0
iDS372.xml	obj	R_EX_C00022_extr	1.209508	optimal	-0.699	-0.699	1.0
iDS372.xml	obj	R_EX_C00025_extr	1.209508	optimal	-0.841502	0.0	1.0
iDS372.xml	obj	R_EX_C00027_extr	1.209508	optimal	0.0	0.0	1.0
iDS372.xml	obj	R_EX_C00033_extr	1.209508	optimal	30.628428	30.628428	1.0
iDS372.xml	obj	R_EX_C00037_extr	1.209508	optimal	-1.477	-1.477	1.0
iDS372.xml	obj	R_EX_C00041_extr	1.209508	optimal	-0.989889	-0.989889	1.0
iDS372.xml	obj	R_EX_C00042_extr	1.209508	optimal	0.0	0.0	1.0
iDS372.xml	obj	R_EX_C00047_extr	1.209508	optimal	-0.599711	-0.599711	1.0
iDS372.xml	obj	R_EX_C00049_extr	1.209508	optimal	-0.349067	0.0	1.0
iDS372.xml	obj	R_EX_C00058_extr	1.209508	optimal	63.47703	63.47703	1.0
iDS372.xml	obj	R_EX_C00059_extr	1.209508	optimal	0.0	0.0	1.0
iDS372.xml	obj	R_EX_C00062_extr	1.209508	optimal	-0.356524	-0.356524	1.0
iDS372.xml	obj	R_EX_C00064_extr	1.209508	optimal	-0.841502	0.0	1.0
iDS372.xml	obj	R_EX_C00065_extr	1.209508	optimal	-1.993	-1.993	1.0
iDS372.xml	obj	R_EX_C00073_extr	1.209508	optimal	-0.23902	-0.23902	1.0
iDS372.xml	obj	R_EX_C00078_extr	1.209508	optimal	-0.059064	-0.059064	1.0
iDS372.xml	obj	R_EX_C00079_extr	1.209508	optimal	-0.296072	-0.296072	1.0
iDS372.xml	obj	R_EX_C00080_extr	1.209508	optimal	-0.01175	-0.01175	1.0
iDS372.xml	obj	R_EX_C00082_extr	1.209508	optimal	-0.085	-0.085	1.0
iDS372.xml	obj	R_EX_C00089_extr	1.209508	optimal	0.0	0.0	1.0
iDS372.xml	obj	R_EX_C00097_extr	1.209508	optimal	-0.043923	-0.043923	1.0
iDS372.xml	obj	R_EX_C00106_extr	1.209508	optimal	-0.082824	-0.082824	1.0
iDS372.xml	obj	R_EX_C00114_extr	1.209508	optimal	-0.262677	-0.262677	1.0
iDS372.xml	obj	R_EX_C00116_extr	1.209508	optimal	0.0	0.0	1.0
