model	objective	gene	status	value
iJN1463.xml	obj	PP_0026	optimal	0.586118
iJN1463.xml	obj	PP_0037	optimal	0.584294
iJN1463.xml	obj	PP_0041	optimal	0.586118
iJN1463.xml	obj	PP_0043	optimal	0.586118
iJN1463.xml	obj	PP_0044	optimal	0.586118
iJN1463.xml	obj	PP_0045	optimal	0.586118
iJN1463.xml	obj	PP_0058	optimal	0.586118
iJN1463.xml	obj	PP_0059	optimal	0.0
iJN1463.xml	obj	PP_0060	optimal	0.586118
iJN1463.xml	obj	PP_0061	optimal	0.586118
iJN1463.xml	obj	PP_0063	optimal	0.586118
iJN1463.xml	obj	PP_0065	optimal	0.586118
iJN1463.xml	obj	PP_0067	optimal	0.586118
iJN1463.xml	obj	PP_0072	optimal	0.586118
iJN1463.xml	obj	PP_0073	optimal	0.586066
iJN1463.xml	obj	PP_0074	optimal	0.586118
iJN1463.xml	obj	PP_0075	optimal	0.586118
iJN1463.xml	obj	PP_0076	optimal	0.586118
iJN1463.xml	obj	PP_0077	optimal	0.586118
iJN1463.xml	obj	PP_0082	optimal	0.0
iJN1463.xml	obj	PP_0083	optimal	0.0
iJN1463.xml	obj	PP_0100	optimal	0.55679
iJN1463.xml	obj	PP_0103	optimal	0.586118
iJN1463.xml	obj	PP_0104	optimal	0.586118
iJN1463.xml	obj	PP_0105	optimal	0.586118
iJN1463.xml	obj	PP_0106	optimal	0.586118
iJN1463.xml	obj	PP_0110	optimal	0.586118
iJN1463.xml	obj	PP_0112	optimal	0.586118
iJN1463.xml	obj	PP_0113	optimal	0.586118
iJN1463.xml	obj	PP_0114	optimal	0.586118
iJN1463.xml	obj	PP_0115	optimal	0.586118
iJN1463.xml	obj	PP_0117	optimal	0.586118
iJN1463.xml	obj	PP_0118	optimal	0.586118
iJN1463.xml	obj	PP_0120	optimal	0.586118
iJN1463.xml	obj	PP_0121	optimal	0.586118
iJN1463.xml	obj	PP_0127	optimal	0.586118
iJN1463.xml	obj	PP_0129	optimal	0.586118
iJN1463.xml	obj	PP_0137	optimal	0.586118
iJN1463.xml	obj	PP_0145	optimal	0.586118
iJN1463.xml	obj	PP_0147	optimal	0.586118
iJN1463.xml	obj	PP_0154	optimal	0.586118
iJN1463.xml	obj	PP_0155	optimal	0.586118
iJN1463.xml	obj	PP_0156	optimal	0.586118
iJN1463.xml	obj	PP_0158	optimal	0.586118
iJN1463.xml	obj	PP_0160	optimal	0.586118
iJN1463.xml	obj	PP_0165	optimal	0.586118
iJN1463.xml	obj	PP_0169	optimal	0.586118
iJN1463.xml	obj	PP_0184	optimal	0.0
iJN1463.xml	obj	PP_0186	optimal	0.0
iJN1463.xml	obj	PP_0187	optimal	0.0
iJN1463.xml	obj	PP_0188	optimal	0.586118
iJN1463.xml	obj	PP_0189	optimal	0.0
iJN1463.xml	obj	PP_0190	optimal	0.586118
iJN1463.xml	obj	PP_0203	optimal	0.586118
iJN1463.xml	obj	PP_0207	optimal	0.586118
iJN1463.xml	obj	PP_0208	optimal	0.586118
iJN1463.xml	obj	PP_0209	optimal	0.586118
iJN1463.xml	obj	PP_0213	optimal	0.586118
iJN1463.xml	obj	PP_0214	optimal	0.586118
iJN1463.xml	obj	PP_0217	optimal	0.586118
iJN1463.xml	obj	PP_0219	optimal	0.586118
iJN1463.xml	obj	PP_0220	optimal	0.586118
iJN1463.xml	obj	PP_0221	optimal	0.586118
iJN1463.xml	obj	PP_0225	optimal	0.586118
iJN1463.xml	obj	PP_0226	optimal	0.586118
iJN1463.xml	obj	PP_0227	optimal	0.586118
iJN1463.xml	obj	PP_0228	optimal	0.586118
iJN1463.xml	obj	PP_0229	optimal	0.586118
iJN1463.xml	obj	PP_0230	optimal	0.586118
iJN1463.xml	obj	PP_0231	optimal	0.586118
iJN1463.xml	obj	PP_0232	optimal	0.586118
iJN1463.xml	obj	PP_0233	optimal	0.586118
iJN1463.xml	obj	PP_0234	optimal	0.586118
iJN1463.xml	obj	PP_0236	optimal	0.586118
iJN1463.xml	obj	PP_0237	optimal	0.586118
iJN1463.xml	obj	PP_0238	optimal	0.586118
iJN1463.xml	obj	PP_0239	optimal	0.586118
iJN1463.xml	obj	PP_0240	optimal	0.586118
iJN1463.xml	obj	PP_0243	optimal	0.586118
iJN1463.xml	obj	PP_0253	optimal	0.586118
iJN1463.xml	obj	PP_0260	optimal	0.586118
iJN1463.xml	obj	PP_0261	optimal	0.586118
iJN1463.xml	obj	PP_0265	optimal	0.586118
iJN1463.xml	obj	PP_0266	optimal	0.586118
iJN1463.xml	obj	PP_0280	optimal	0.586118
iJN1463.xml	obj	PP_0281	optimal	0.586118
iJN1463.xml	obj	PP_0282	optimal	0.586118
iJN1463.xml	obj	PP_0283	optimal	0.586118
iJN1463.xml	obj	PP_0284	optimal	0.586118
iJN1463.xml	obj	PP_0289	optimal	0.0
iJN1463.xml	obj	PP_0290	optimal	0.0
iJN1463.xml	obj	PP_0292	optimal	0.586118
iJN1463.xml	obj	PP_0293	optimal	0.0
iJN1463.xml	obj	PP_0294	optimal	0.586118
iJN1463.xml	obj	PP_0295	optimal	0.586118
iJN1463.xml	obj	PP_0296	optimal	0.586118
iJN1463.xml	obj	PP_0297	optimal	0.586118
iJN1463.xml	obj	PP_0301	optimal	0.586118
iJN1463.xml	obj	PP_0302	optimal	0.586118
iJN1463.xml	obj	PP_0303	optimal	0.586118
iJN1463.xml	obj	PP_0304	optimal	0.586118
iJN1463.xml	obj	PP_0310	optimal	0.586118
iJN1463.xml	obj	PP_0311	optimal	0.586118
iJN1463.xml	obj	PP_0315	optimal	0.586118
iJN1463.xml	obj	PP_0316	optimal	0.586118
iJN1463.xml	obj	PP_0321	optimal	0.0
iJN1463.xml	obj	PP_0322	optimal	0.586118
iJN1463.xml	obj	PP_0323	optimal	0.586118
iJN1463.xml	obj	PP_0324	optimal	0.586118
iJN1463.xml	obj	PP_0325	optimal	0.586118
iJN1463.xml	obj	PP_0326	optimal	0.586118
iJN1463.xml	obj	PP_0327	optimal	0.586118
iJN1463.xml	obj	PP_0328	optimal	0.586114
iJN1463.xml	obj	PP_0336	optimal	0.586118
iJN1463.xml	obj	PP_0338	optimal	0.567273
iJN1463.xml	obj	PP_0339	optimal	0.567273
iJN1463.xml	obj	PP_0341	optimal	0.0
iJN1463.xml	obj	PP_0342	optimal	0.0
iJN1463.xml	obj	PP_0343	optimal	0.0
iJN1463.xml	obj	PP_0344	optimal	0.0
iJN1463.xml	obj	PP_0345	optimal	0.586118
iJN1463.xml	obj	PP_0346	optimal	0.586118
iJN1463.xml	obj	PP_0350	optimal	0.586118
iJN1463.xml	obj	PP_0356	optimal	0.586117
iJN1463.xml	obj	PP_0362	optimal	0.0
iJN1463.xml	obj	PP_0363	optimal	0.0
iJN1463.xml	obj	PP_0364	optimal	0.0
iJN1463.xml	obj	PP_0365	optimal	0.0
iJN1463.xml	obj	PP_0366	optimal	0.0
iJN1463.xml	obj	PP_0368	optimal	0.586118
iJN1463.xml	obj	PP_0376	optimal	0.0
iJN1463.xml	obj	PP_0378	optimal	0.0
iJN1463.xml	obj	PP_0380	optimal	0.0
iJN1463.xml	obj	PP_0381	optimal	0.0
iJN1463.xml	obj	PP_0382	optimal	0.586118
iJN1463.xml	obj	PP_0383	optimal	0.586118
iJN1463.xml	obj	PP_0391	optimal	0.586118
iJN1463.xml	obj	PP_0392	optimal	0.0
iJN1463.xml	obj	PP_0393	optimal	0.586118
iJN1463.xml	obj	PP_0398	optimal	0.586118
iJN1463.xml	obj	PP_0399	optimal	0.586118
iJN1463.xml	obj	PP_0402	optimal	0.0
iJN1463.xml	obj	PP_0411	optimal	0.586118
iJN1463.xml	obj	PP_0412	optimal	0.586118
iJN1463.xml	obj	PP_0413	optimal	0.586118
iJN1463.xml	obj	PP_0414	optimal	0.586118
iJN1463.xml	obj	PP_0415	optimal	0.586074
iJN1463.xml	obj	PP_0416	optimal	0.586118
iJN1463.xml	obj	PP_0417	optimal	0.0
iJN1463.xml	obj	PP_0418	optimal	0.586118
iJN1463.xml	obj	PP_0420	optimal	0.0
iJN1463.xml	obj	PP_0421	optimal	0.0
iJN1463.xml	obj	PP_0422	optimal	0.0
iJN1463.xml	obj	PP_0427	optimal	0.586118
iJN1463.xml	obj	PP_0432	optimal	0.586118
iJN1463.xml	obj	PP_0434	optimal	0.586118
iJN1463.xml	obj	PP_0436	optimal	0.586118
iJN1463.xml	obj	PP_0437	optimal	0.0
iJN1463.xml	obj	PP_0438	optimal	0.0
iJN1463.xml	obj	PP_0481	optimal	0.586118
iJN1463.xml	obj	PP_0489	optimal	0.586118
iJN1463.xml	obj	PP_0490	optimal	0.586118
iJN1463.xml	obj	PP_0491	optimal	0.586118
iJN1463.xml	obj	PP_0492	optimal	0.586118
iJN1463.xml	obj	PP_0493	optimal	0.586118
iJN1463.xml	obj	PP_0495	optimal	0.586118
iJN1463.xml	obj	PP_0496	optimal	0.586118
iJN1463.xml	obj	PP_0500	optimal	0.586118
iJN1463.xml	obj	PP_0501	optimal	0.0
iJN1463.xml	obj	PP_0510	optimal	0.586118
iJN1463.xml	obj	PP_0514	optimal	0.0
iJN1463.xml	obj	PP_0515	optimal	0.586118
iJN1463.xml	obj	PP_0516	optimal	0.586118
iJN1463.xml	obj	PP_0517	optimal	0.0
iJN1463.xml	obj	PP_0519	optimal	0.0
iJN1463.xml	obj	PP_0520	optimal	0.0
iJN1463.xml	obj	PP_0522	optimal	0.586118
iJN1463.xml	obj	PP_0524	optimal	0.586118
iJN1463.xml	obj	PP_0525	optimal	0.586118
iJN1463.xml	obj	PP_0527	optimal	0.0
iJN1463.xml	obj	PP_0528	optimal	0.0
iJN1463.xml	obj	PP_0530	optimal	0.586118
iJN1463.xml	obj	PP_0535	optimal	0.586118
iJN1463.xml	obj	PP_0538	optimal	0.586118
iJN1463.xml	obj	PP_0542	optimal	0.586118
iJN1463.xml	obj	PP_0543	optimal	0.586118
iJN1463.xml	obj	PP_0544	optimal	0.586118
iJN1463.xml	obj	PP_0545	optimal	0.586118
iJN1463.xml	obj	PP_0547	optimal	0.586118
iJN1463.xml	obj	PP_0548	optimal	0.586118
iJN1463.xml	obj	PP_0551	optimal	0.586118
iJN1463.xml	obj	PP_0552	optimal	0.586118
iJN1463.xml	obj	PP_0553	optimal	0.586118
iJN1463.xml	obj	PP_0554	optimal	0.586118
iJN1463.xml	obj	PP_0555	optimal	0.586118
iJN1463.xml	obj	PP_0556	optimal	0.586118
iJN1463.xml	obj	PP_0558	optimal	0.0
iJN1463.xml	obj	PP_0559	optimal	0.0
iJN1463.xml	obj	PP_0560	optimal	0.586118
iJN1463.xml	obj	PP_0561	optimal	0.586118
iJN1463.xml	obj	PP_0565	optimal	0.586118
iJN1463.xml	obj	PP_0567	optimal	0.586118
iJN1463.xml	obj	PP_0572	optimal	0.586118
iJN1463.xml	obj	PP_0586	optimal	0.586118
iJN1463.xml	obj	PP_0591	optimal	0.586118
iJN1463.xml	obj	PP_0596	optimal	0.586118
iJN1463.xml	obj	PP_0597	optimal	0.586118
iJN1463.xml	obj	PP_0601	optimal	0.0
iJN1463.xml	obj	PP_0602	optimal	0.0
iJN1463.xml	obj	PP_0603	optimal	0.586118
iJN1463.xml	obj	PP_0606	optimal	0.0
