model	objective	reaction	status	value
iJN1463.xml	obj	R_13DAMPPabcpp	optimal	0.586118
iJN1463.xml	obj	R_13DAMPPtex	optimal	0.586118
iJN1463.xml	obj	R_13PPDH2_1	optimal	0.586118
iJN1463.xml	obj	R_15DAPabcpp	optimal	0.586118
iJN1463.xml	obj	R_1P2CBXLCYCL	optimal	0.586118
iJN1463.xml	obj	R_1P2CBXLR	optimal	0.586118
iJN1463.xml	obj	R_1PPDCRc	optimal	0.586118
iJN1463.xml	obj	R_1PQQS	optimal	0.0
iJN1463.xml	obj	R_1PY4h3cAH	optimal	0.586118
iJN1463.xml	obj	R_23CTI1	optimal	0.586118
iJN1463.xml	obj	R_23CTI2	optimal	0.586118
iJN1463.xml	obj	R_23CTI3	optimal	0.586118
iJN1463.xml	obj	R_24DECOAR	optimal	0.586118
iJN1463.xml	obj	R_25DKGLCNt2rpp	optimal	0.586118
iJN1463.xml	obj	R_25DKGLCNtex	optimal	0.586118
iJN1463.xml	obj	R_26DAHtex	optimal	0.586118
iJN1463.xml	obj	R_2AACLPGT160	optimal	0.586118
iJN1463.xml	obj	R_2AACLPGT161	optimal	0.586118
iJN1463.xml	obj	R_2AACLPGT180	optimal	0.586118
iJN1463.xml	obj	R_2AACLPGT181	optimal	0.586118
iJN1463.xml	obj	R_2AACLPPEAT160	optimal	0.586118
iJN1463.xml	obj	R_2AACLPPEAT161	optimal	0.586118
iJN1463.xml	obj	R_2AACLPPEAT180	optimal	0.586118
iJN1463.xml	obj	R_2AACLPPEAT181	optimal	0.586118
iJN1463.xml	obj	R_2AGPE160tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPE161tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPE180tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPE181tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPG160tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPG161tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPG180tipp	optimal	0.586118
iJN1463.xml	obj	R_2AGPG181tipp	optimal	0.586118
iJN1463.xml	obj	R_2DHGLCK	optimal	0.586118
iJN1463.xml	obj	R_2DHGLCNkt_tpp	optimal	0.586118
iJN1463.xml	obj	R_2DHGLCNtex	optimal	0.586118
iJN1463.xml	obj	R_2HESR	optimal	0.586118
iJN1463.xml	obj	R_2PQQS	optimal	0.0
iJN1463.xml	obj	R_34DHCINMtex	optimal	0.586118
iJN1463.xml	obj	R_34DHCINMtpp	optimal	0.586118
iJN1463.xml	obj	R_34DHPHEtex	optimal	0.586118
iJN1463.xml	obj	R_34DHPHEtpp	optimal	0.586118
iJN1463.xml	obj	R_34HPPOR	optimal	0.586118
iJN1463.xml	obj	R_3AIBT2	optimal	0.586118
iJN1463.xml	obj	R_3HAACOAT100	optimal	0.586118
iJN1463.xml	obj	R_3HAACOAT120	optimal	0.586118
iJN1463.xml	obj	R_3HAACOAT121	optimal	0.586118
iJN1463.xml	obj	R_3HAACOAT140	optimal	0.586045
iJN1463.xml	obj	R_3HAACOAT141	optimal	0.586045
iJN1463.xml	obj	R_3HAACOAT60	optimal	0.586118
iJN1463.xml	obj	R_3HAACOAT80	optimal	0.586118
iJN1463.xml	obj	R_3HAD100	optimal	0.0
iJN1463.xml	obj	R_3HAD120	optimal	0.0
iJN1463.xml	obj	R_3HAD121	optimal	0.583364
iJN1463.xml	obj	R_3HAD140	optimal	0.0
iJN1463.xml	obj	R_3HAD141	optimal	0.0
iJN1463.xml	obj	R_3HAD160	optimal	0.0
iJN1463.xml	obj	R_3HAD161	optimal	0.0
iJN1463.xml	obj	R_3HAD180	optimal	0.0
iJN1463.xml	obj	R_3HAD181	optimal	0.0
iJN1463.xml	obj	R_3HAD40	optimal	0.0
iJN1463.xml	obj	R_3HAD60	optimal	0.0
iJN1463.xml	obj	R_3HAD80	optimal	0.0
iJN1463.xml	obj	R_3HBCOAHL	optimal	0.586118
iJN1463.xml	obj	R_3HLYTCL	optimal	0.586118
iJN1463.xml	obj	R_3HPTNCOAR	optimal	0.586118
iJN1463.xml	obj	R_3MBZALDH	optimal	0.586118
iJN1463.xml	obj	R_3MBZDH	optimal	0.586118
