model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
iJN1463.xml	obj	R_13DAMPPabcpp	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_13DAMPPtex	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_13PPDH2_1	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_15DAPabcpp	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_1P2CBXLCYCL	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_1P2CBXLR	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_1PPDCRc	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_1PQQS	0.586118	optimal	0.000131	0.000131	1.0
iJN1463.xml	obj	R_1PY4h3cAH	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_23CTI1	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_23CTI2	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_23CTI3	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_24DECOAR	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_25DKGLCNt2rpp	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_25DKGLCNtex	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_26DAHtex	0.586118	optimal	0.0	0.0	1.0
iJN1463.xml	obj	R_2AACLPGT160	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPGT161	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPGT180	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPGT181	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPPEAT160	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPPEAT161	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPPEAT180	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AACLPPEAT181	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AGPE160tipp	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AGPE161tipp	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AGPE180tipp	0.586118	optimal	0.0	-0.0	1.0
iJN1463.xml	obj	R_2AGPE181tipp	0.586118	optimal	0.0	-0.0	1.0
