model	objective	gene	status	value
./iJR904.xml	obj	G_b0002	optimal	0.9219480950504755
./iJR904.xml	obj	G_b0003	optimal	0.9219480950504727
./iJR904.xml	obj	G_b0004	optimal	0.921948095050467
./iJR904.xml	obj	G_b0007	optimal	0.9219480950505349
./iJR904.xml	obj	G_b0008	optimal	0.9219480950504677
./iJR904.xml	obj	G_b0019	optimal	0.921948095050467
./iJR904.xml	obj	G_b0025	optimal	4.523831026960888e-16
./iJR904.xml	obj	G_b0029	optimal	0.9219480950504825
./iJR904.xml	obj	G_b0031	optimal	-2.8218697847269006e-16
./iJR904.xml	obj	G_b0032	optimal	0.9219480950504612
./iJR904.xml	obj	G_b0033	optimal	0.9219480950504659
./iJR904.xml	obj	G_b0036	optimal	0.9219480950504675
./iJR904.xml	obj	G_b0038	optimal	0.9219480950504677
./iJR904.xml	obj	G_b0040	optimal	0.9219480950504557
./iJR904.xml	obj	G_b0048	optimal	3.480123692761225e-16
./iJR904.xml	obj	G_b0049	optimal	0.9219480950505557
./iJR904.xml	obj	G_b0052	optimal	0.921948095050468
./iJR904.xml	obj	G_b0061	optimal	0.9219480950504687
./iJR904.xml	obj	G_b0062	optimal	0.921948095050477
./iJR904.xml	obj	G_b0063	optimal	0.9219480950504619
./iJR904.xml	obj	G_b0066	optimal	0.9219480950504708
./iJR904.xml	obj	G_b0067	optimal	0.9219480950504578
./iJR904.xml	obj	G_b0068	optimal	0.9219480950505644
./iJR904.xml	obj	G_b0071	optimal	4.580844927514836e-16
./iJR904.xml	obj	G_b0072	optimal	1.680951102271972e-14
./iJR904.xml	obj	G_b0073	optimal	1.3142817684299222e-16
./iJR904.xml	obj	G_b0074	optimal	4.710162564910053e-16
./iJR904.xml	obj	G_b0077	optimal	0.9219480950504685
./iJR904.xml	obj	G_b0078	optimal	0.9219480950504578
./iJR904.xml	obj	G_b0085	optimal	-3.372188088922431e-17
./iJR904.xml	obj	G_b0086	optimal	4.1450876540656336e-16
./iJR904.xml	obj	G_b0087	optimal	2.986894526012941e-16
./iJR904.xml	obj	G_b0088	optimal	-8.152068266988824e-16
./iJR904.xml	obj	G_b0090	optimal	-3.2593539148793304e-16
./iJR904.xml	obj	G_b0091	optimal	1.8037489543685827e-16
./iJR904.xml	obj	G_b0092	optimal	0.9219480950504658
./iJR904.xml	obj	G_b0096	optimal	-4.851481969063868e-17
./iJR904.xml	obj	G_b0099	optimal	0.9219480950504939
./iJR904.xml	obj	G_b0104	optimal	0.9219480950504739
./iJR904.xml	obj	G_b0109	optimal	3.770176576707508e-13
./iJR904.xml	obj	G_b0112	optimal	0.9219480950505113
./iJR904.xml	obj	G_b0114	optimal	0.8926572600874798
./iJR904.xml	obj	G_b0115	optimal	0.892657260087468
./iJR904.xml	obj	G_b0116	optimal	0.8703815653307464
./iJR904.xml	obj	G_b0118	optimal	0.9219480950504612
./iJR904.xml	obj	G_b0120	optimal	-1.1029544324027602e-15
./iJR904.xml	obj	G_b0121	optimal	3.596510922661221e-17
./iJR904.xml	obj	G_b0124	optimal	0.9219480950504642
./iJR904.xml	obj	G_b0125	optimal	0.9219480950504836
./iJR904.xml	obj	G_b0126	optimal	0.9219480950504688
./iJR904.xml	obj	G_b0131	optimal	-2.1836144839121423e-16
./iJR904.xml	obj	G_b0133	optimal	-3.509147810221864e-16
./iJR904.xml	obj	G_b0134	optimal	3.3901670457350813e-15
./iJR904.xml	obj	G_b0142	optimal	-2.1433446889319756e-16
./iJR904.xml	obj	G_b0154	optimal	0.9219480950504672
./iJR904.xml	obj	G_b0158	optimal	0.9219480950504616
./iJR904.xml	obj	G_b0159	optimal	1.1464247523092924e-15
./iJR904.xml	obj	G_b0160	optimal	0.9219480950504688
./iJR904.xml	obj	G_b0166	optimal	9.657661696992959e-16
./iJR904.xml	obj	G_b0171	optimal	0.9217375642928888
./iJR904.xml	obj	G_b0173	optimal	0.9219480950504693
./iJR904.xml	obj	G_b0174	optimal	0.9219480950503482
./iJR904.xml	obj	G_b0175	optimal	1.227152495598786e-16
./iJR904.xml	obj	G_b0179	optimal	2.769771660036964e-16
./iJR904.xml	obj	G_b0180	optimal	4.873612011038322e-15
./iJR904.xml	obj	G_b0181	optimal	-1.0094792299757223e-15
./iJR904.xml	obj	G_b0182	optimal	4.480923201582636e-16
./iJR904.xml	obj	G_b0185	optimal	-7.910689503348056e-16
./iJR904.xml	obj	G_b0186	optimal	0.921948095050469
