software	model	objective	gene	status	value
cbmpy	iDS372.xml	obj	G_spr0011	optimal	1.204569
cbmpy	iDS372.xml	obj	G_spr0021	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0022	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0026	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0028	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0034	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0035	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0041	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0045	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0046	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0047	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0048	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0049	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0051	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0052	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0053	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0056	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0059	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0061	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0062	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0065	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0068	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0081	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0082	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0090	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0094	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0095	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0102	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0103	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0128	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0150	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0161	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0162	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0163	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0178	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0180	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0183	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0210	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0218	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0219	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0231	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0232	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0233	optimal	1.209086
cbmpy	iDS372.xml	obj	G_spr0240	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0241	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0245	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0255	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0259	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0260	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0262	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0264	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0266	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0268	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0269	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0282	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0294	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0295	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0296	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0304	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0305	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0329	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0335	optimal	1.207279
cbmpy	iDS372.xml	obj	G_spr0338	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0339	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0340	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0341	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0356	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0359	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0369	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0374	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0377	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0379	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0380	optimal	0.0
cbmpy	iDS372.xml	obj	G_spr0381	optimal	1.209508
cbmpy	iDS372.xml	obj	G_spr0382	optimal	0.0
